City,Restaurant,Price,Avg ratings,Total ratings,Delivery time,Chinese,North Indian,Indian,Fast Food,Beverages,Desserts,Biryani,Snacks,South Indian,Continental
0,Smoor,300.0,4.3,100,49,0,0,0,0,1,1,0,0,0,1
3,Cafe Eastwood,700.0,4.4,50,58,0,1,1,0,0,0,0,0,0,1
3,Jazz Pizza,300.0,3.9,20,72,0,0,0,1,0,0,0,0,0,0
6,10 Downing Street,1000.0,4.0,20,77,0,0,1,0,0,0,0,0,0,1
2,The Bar Stock Exchange,1300.0,2.9,80,59,0,1,1,0,0,0,0,0,0,1
5,Mikky Peshawari Chicken & Fish (Since 1998),250.0,4.0,100,53,0,1,1,0,1,0,1,1,0,0
5,Shake Square,250.0,3.9,50,50,0,0,0,1,1,1,0,0,0,0
5,Shut Up & Eat,250.0,4.1,100,27,0,0,1,0,0,0,0,0,0,0
4,Bikers Cafe,1100.0,4.2,100,65,0,0,0,0,0,1,0,0,0,1
4,Legacy Of China,400.0,4.1,100,80,1,1,1,1,0,0,0,0,0,0
4,Royal Jade,450.0,4.5,500,76,1,0,0,0,0,0,0,0,0,0
2,Pizza Hut,300.0,3.8,500,33,0,0,0,1,0,0,0,0,0,0
6,Hotel Pandia'S,400.0,4.2,1000,77,1,1,1,0,0,0,1,0,1,0
6,Bombay Brasserie,900.0,4.3,100,48,0,0,1,0,0,0,0,0,0,0
6,Kaidi Kitchen,900.0,4.5,100,63,1,1,1,0,0,0,0,0,0,0
4,Chopstick - Ballygunge,400.0,3.7,100,64,1,0,0,0,0,0,0,0,0,0
4,Chennai Xpress,300.0,4.1,500,74,1,1,1,0,1,0,0,0,1,0
1,Kritunga Restaurant,500.0,4.0,1000,52,1,1,1,0,0,0,1,0,1,0
1,Bakers Street,250.0,4.2,500,49,0,0,0,0,0,0,0,0,0,1
0,Delicacy,400.0,4.2,500,56,1,0,0,0,0,0,0,0,0,0
6,Parfait Cakes N Bakes,300.0,3.5,20,49,0,0,0,0,0,1,0,0,0,0
6,Wangs Kitchen,350.0,4.1,100,46,1,0,0,1,0,0,0,0,0,0
5,Burger King,350.0,4.3,1000,35,0,0,0,1,0,0,0,0,0,0
0,Hotel Tom'S Restaurant,400.0,4.4,100,35,1,1,1,0,0,1,1,0,1,0
0,Smoke House Deli,800.0,4.5,500,39,0,0,0,0,0,1,0,0,0,0
6,Kim Ling,800.0,4.4,500,64,1,0,0,0,0,0,0,0,0,0
5,Bombay Indianese Treat,300.0,2.9,80,61,1,0,0,0,0,0,0,0,0,0
5,Chalte Firte Momos & Special Foods,200.0,3.8,100,36,1,1,1,1,0,0,0,0,0,0
5,Patiala Shahi Chicken Corner,400.0,4.1,100,36,0,1,1,0,1,0,0,0,0,0
5,Subway,350.0,4.1,500,53,0,0,0,1,1,1,0,1,0,0
